Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,Year
6,Dallas Mavericks*,82,19805,.462,13.4,,.759,.266,.089,.162,.242,.241,,.498,.601,.402,.443,.456,.350,,.506,.851,,.042,262,,.211,774,,.282,.335,,17,1,2009
7,Denver Nuggets*,82,19730,.470,11.8,,.773,.376,.100,.081,.216,.227,,.499,.616,.407,.327,.401,.371,,.555,.777,,.088,523,,.266,924,,.193,.389,,18,1,2009
8,Detroit Pistons*,82,19905,.454,12.7,,.835,.284,.091,.156,.304,.165,,.475,.587,.477,.405,.406,.349,,.510,.955,,.039,233,,.229,812,,.380,.380,,11,0,2009
9,Golden State Warriors,82,19880,.458,12.6,,.791,.308,.138,.092,.252,.209,,.480,.632,.362,.366,.402,.373,,.468,.827,,.044,290,,.247,1036,,.224,.461,,18,1,2009
10,Houston Rockets*,82,19805,.453,12.3,,.746,.309,.160,.111,.166,.254,,.480,.568,.450,.409,.393,.375,,.492,.824,,.033,195,,.265,922,,.194,.383,,25,0,2009
11,Indiana Pacers,82,19830,.455,12.9,,.756,.295,.135,.103,.223,.244,,.480,.592,.413,.410,.403,.378,,.454,.933,,.026,167,,.261,1051,,.174,.370,,9,0,2009
12,Los Angeles Clippers,82,19880,.441,12.2,,.774,.336,.119,.102,.218,.226,,.467,.582,.400,.347,.382,.354,,.525,.847,,.045,260,,.265,957,,.180,.426,,30,3,2009
13,Los Angeles Lakers*,82,19780,.474,11.9,,.783,.320,.148,.119,.196,.217,,.505,.616,.440,.443,.410,.361,,.522,.854,,.068,442,,.231,872,,.274,.366,,14,0,2009
14,Memphis Grizzlies,82,19805,.454,11.4,,.825,.332,.164,.102,.227,.175,,.474,.573,.405,.398,.414,.360,,.433,.892,,.070,406,,.248,759,,.252,.394,,13,0,2009
15,Miami Heat*,82,19955,.457,13.3,,.755,.275,.119,.114,.247,.245,,.489,.619,.423,.412,.411,.357,,.485,.826,,.062,363,,.199,722,,.288,.364,,22,0,2009
16,Milwaukee Bucks,82,19780,.445,12.4,,.792,.305,.118,.125,.243,.208,,.467,.568,.437,.384,.398,.363,,.539,.892,,.043,257,,.243,861,,.304,.400,,8,1,2009
17,Minnesota Timberwolves,82,19805,.441,11.9,,.773,.332,.137,.107,.196,.227,,.467,.571,.400,.365,.395,.353,,.491,.875,,.031,186,,.280,1017,,.292,.411,,18,0,2009
18,New Jersey Nets,82,19830,.448,12.8,,.735,.330,.088,.102,.215,.265,,.473,.578,.416,.375,.383,.376,,.478,.842,,.051,304,,.260,893,,.307,.451,,9,0,2009
19,New Orleans Hornets*,82,19755,.457,12.8,,.760,.276,.134,.137,.213,.240,,.487,.613,.451,.387,.410,.364,,.471,.899,,.056,325,,.202,714,,.330,.414,,9,0,2009
20,New York Knicks,82,19805,.445,12.8,,.678,.349,.091,.084,.154,.322,,.486,.576,.412,.364,.391,.360,,.447,.843,,.037,235,,.299,1150,,.239,.382,,19,0,2009
21,Oklahoma City Thunder,82,19805,.447,11.0,,.859,.338,.134,.138,.248,.141,,.463,.606,.358,.388,.368,.346,,.515,.878,,.071,429,,.250,885,,.217,.345,,12,0,2009
22,Orlando Magic*,82,19730,.457,13.6,,.665,.282,.127,.101,.155,.335,,.495,.623,.405,.424,.381,.381,,.417,.871,,.054,327,,.215,761,,.303,.395,,11,0,2009
23,Philadelphia 76ers*,82,19755,.459,10.8,,.836,.382,.112,.138,.204,.164,,.486,.598,.385,.397,.394,.318,,.516,.809,,.074,458,,.293,984,,.285,.348,,15,1,2009
24,Phoenix Suns,82,19755,.504,10.9,,.784,.363,.164,.100,.158,.216,,.537,.665,.442,.387,.437,.383,,.520,.796,,.078,471,,.271,1105,,.297,.394,,18,0,2009
25,Portland Trail Blazers*,82,19830,.465,12.8,,.761,.294,.126,.109,.231,.239,,.490,.621,.419,.382,.414,.383,,.467,.901,,.075,437,,.198,693,,.395,.402,,29,1,2009
26,Sacramento Kings,82,19905,.447,12.7,,.762,.290,.141,.103,.229,.238,,.472,.596,.378,.408,.402,.368,,.481,.790,,.044,268,,.227,840,,.269,.421,,17,0,2009
27,San Antonio Spurs*,82,19905,.466,13.4,,.752,.253,.140,.109,.250,.248,,.492,.616,.456,.405,.424,.386,,.489,.885,,.012,75,,.234,914,,.376,.394,,9,0,2009
28,Toronto Raptors,82,19805,.458,13.1,,.807,.264,.117,.132,.294,.193,,.478,.601,.420,.375,.438,.372,,.543,.910,,.054,318,,.193,692,,.247,.421,,16,0,2009
29,Utah Jazz*,82,19880,.475,11.2,,.831,.379,.101,.091,.259,.169,,.500,.614,.371,.422,.412,.349,,.609,.893,,.068,412,,.289,1057,,.205,.400,,9,0,2009
30,Washington Wizards,82,19705,.450,11.9,,.820,.317,.154,.107,.242,.180,,.476,.614,.386,.383,.395,.330,,.506,.825,,.043,276,,.261,969,,.192,.326,,6,0,2009
,League Average,82,19826,.459,12.4,,.776,.314,.124,.111,.227,.224,,.485,.602,.412,.395,.407,.367,,.501,.859,,.051,312,,.247,898,,.274,.395,,14.8,0.3,2009
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2010
1,Atlanta Hawks*,82,19855,.468,12.3,,.786,.296,.167,.087,.237,.214,,.497,.638,.435,.417,.394,.360,,.510,.828,,.057,366,,.219,855,,.388,.360,,18,1,2010
2,Boston Celtics*,82,19780,.483,11.9,,.772,.339,.139,.107,.188,.228,,.523,.650,.419,.423,.425,.348,,.585,.890,,.036,206,,.299,1164,,.214,.339,,11,0,2010
3,Charlotte Bobcats*,82,19880,.453,11.0,,.789,.408,.098,.080,.203,.211,,.482,.580,.398,.365,.372,.346,,.526,.861,,.056,302,,.333,1129,,.286,.378,,19,1,2010
4,Chicago Bulls*,82,19905,.451,11.9,,.844,.331,.105,.108,.300,.156,,.474,.575,.432,.418,.398,.330,,.510,.884,,.049,302,,.255,915,,.308,.393,,9,0,2010
5,Cleveland Cavaliers*,82,19780,.485,12.5,,.752,.339,.119,.080,.214,.248,,.520,.667,.443,.369,.387,.381,,.551,.762,,.073,427,,.248,966,,.329,.412,,12,1,2010
6,Dallas Mavericks*,82,19880,.464,12.7,,.778,.282,.127,.142,.229,.222,,.491,.600,.422,.410,.444,.372,,.556,.864,,.038,235,,.224,853,,.221,.399,,13,0,2010
7,Denver Nuggets*,82,19780,.468,12.0,,.773,.351,.110,.094,.218,.227,,.500,.623,.388,.400,.401,.359,,.503,.772,,.066,407,,.265,998,,.214,.400,,16,0,2010
8,Detroit Pistons,82,19780,.445,11.8,,.820,.319,.125,.145,.230,.180,,.474,.588,.395,.414,.396,.314,,.490,.890,,.045,264,,.251,894,,.322,.334,,14,0,2010
9,Golden State Warriors,82,19730,.469,13.3,,.762,.298,.113,.095,.256,.238,,.499,.651,.367,.393,.419,.375,,.481,.858,,.039,262,,.246,1063,,.253,.433,,20,0,2010
10,Houston Rockets,82,19905,.447,12.0,,.735,.346,.134,.089,.165,.265,,.481,.572,.427,.382,.388,.351,,.507,.850,,.031,196,,.301,1125,,.240,.395,,15,0,2010
11,Indiana Pacers,82,19705,.443,13.4,,.722,.280,.135,.098,.209,.278,,.479,.599,.425,.403,.390,.348,,.474,.926,,.034,216,,.237,911,,.189,.362,,11,0,2010
12,Los Angeles Clippers,82,19705,.455,12.0,,.779,.341,.113,.117,.208,.221,,.490,.602,.458,.362,.394,.332,,.563,.814,,.046,281,,.267,992,,.225,.366,,19,0,2010
13,Los Angeles Lakers*,82,19830,.457,12.1,,.773,.311,.150,.121,.191,.227,,.492,.597,.436,.426,.406,.341,,.497,.812,,.054,344,,.233,860,,.231,.382,,18,1,2010
14,Memphis Grizzlies,82,19905,.469,10.5,,.852,.370,.168,.110,.203,.148,,.492,.605,.432,.383,.395,.337,,.433,.860,,.048,301,,.297,1145,,.223,.419,,25,2,2010
15,Miami Heat*,82,19880,.458,13.0,,.781,.272,.114,.140,.256,.219,,.489,.641,.445,.393,.399,.346,,.461,.810,,.061,363,,.192,708,,.266,.389,,12,0,2010
16,Milwaukee Bucks*,82,19980,.436,13.0,,.741,.288,.130,.114,.209,.259,,.464,.560,.411,.375,.413,.356,,.495,.851,,.029,184,,.231,853,,.285,.398,,9,1,2010
17,Minnesota Timberwolves,82,19780,.449,11.5,,.829,.308,.166,.146,.210,.171,,.471,.606,.412,.390,.374,.341,,.475,.846,,.037,234,,.250,977,,.224,.358,,21,2,2010
18,New Jersey Nets,82,19780,.429,11.4,,.819,.346,.126,.119,.229,.181,,.454,.568,.379,.365,.368,.318,,.496,.881,,.054,316,,.266,906,,.318,.361,,14,3,2010
19,New Orleans Hornets,82,19830,.464,12.3,,.770,.318,.121,.127,.204,.230,,.495,.606,.432,.400,.418,.363,,.520,.828,,.031,188,,.265,1059,,.203,.423,,10,0,2010
20,New York Knicks,82,19880,.455,13.4,,.688,.327,.087,.071,.203,.312,,.504,.614,.399,.414,.403,.346,,.479,.849,,.036,233,,.271,1070,,.204,.377,,13,1,2010
21,Oklahoma City Thunder*,82,19805,.462,11.5,,.815,.332,.125,.135,.223,.185,,.490,.612,.430,.406,.393,.340,,.480,.883,,.064,389,,.247,878,,.232,.333,,7,0,2010
22,Orlando Magic*,82,19730,.470,13.7,,.650,.301,.123,.082,.144,.350,,.521,.630,.468,.408,.405,.375,,.421,.837,,.057,345,,.224,818,,.282,.421,,23,0,2010
23,Philadelphia 76ers,82,19805,.460,12.1,,.794,.311,.127,.146,.209,.206,,.491,.615,.427,.387,.416,.343,,.502,.865,,.061,392,,.231,840,,.251,.399,,22,1,2010
24,Phoenix Suns*,82,19730,.492,12.5,,.739,.312,.135,.106,.185,.261,,.520,.637,.462,.440,.409,.412,,.509,.801,,.064,380,,.230,918,,.258,.443,,13,1,2010
25,Portland Trail Blazers*,82,19855,.461,12.9,,.785,.286,.111,.133,.255,.215,,.490,.625,.425,.408,.410,.354,,.494,.910,,.044,263,,.217,825,,.342,.389,,27,0,2010
26,Sacramento Kings,82,19880,.456,11.6,,.799,.327,.159,.094,.220,.201,,.483,.610,.385,.427,.388,.349,,.471,.882,,.037,231,,.265,1064,,.251,.418,,17,0,2010
27,San Antonio Spurs*,82,19780,.473,12.2,,.768,.312,.146,.108,.203,.232,,.508,.649,.431,.388,.408,.358,,.514,.892,,.032,198,,.269,1105,,.370,.385,,11,0,2010
28,Toronto Raptors,82,19780,.482,12.6,,.789,.308,.133,.111,.238,.211,,.512,.640,.453,.429,.419,.371,,.510,.842,,.052,307,,.238,946,,.215,.443,,36,2,2010
29,Utah Jazz*,82,19755,.491,10.9,,.816,.383,.121,.092,.220,.184,,.519,.637,.422,.409,.415,.364,,.652,.841,,.064,375,,.297,1161,,.205,.453,,9,0,2010
30,Washington Wizards,82,19830,.449,12.6,,.817,.279,.148,.116,.274,.183,,.471,.619,.359,.403,.408,.353,,.474,.775,,.043,277,,.221,821,,.233,.382,,14,0,2010
,League Average,82,19820,.461,12.2,,.778,.320,.129,.110,.218,.222,,.492,.613,.421,.400,.402,.355,,.505,.847,,.048,293,,.253,961,,.258,.392,,15.9,0.6,2010
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2011
1,Atlanta Hawks*,82,19730,.462,13.5,,.778,.233,.175,.097,.274,.222,,.494,.649,.434,.390,.436,.352,,.550,.882,,.045,263,,.182,692,,.349,.380,,13,1,2011
2,Boston Celtics*,82,19780,.486,12.1,,.820,.313,.140,.113,.254,.180,,.513,.674,.376,.445,.420,.365,,.597,.882,,.043,256,,.265,1041,,.260,.467,,8,0,2011
3,Charlotte Bobcats,82,19805,.451,12.0,,.811,.334,.145,.097,.235,.189,,.480,.610,.354,.395,.410,.327,,.560,.860,,.045,242,,.275,995,,.187,.373,,18,0,2011
4,Chicago Bulls*,82,19830,.462,12.5,,.785,.304,.151,.102,.229,.215,,.489,.638,.389,.404,.397,.361,,.548,.863,,.052,314,,.257,986,,.275,.373,,17,0,2011
5,Cleveland Cavaliers,82,19755,.434,12.3,,.776,.296,.179,.097,.203,.224,,.461,.610,.355,.333,.398,.342,,.542,.847,,.051,312,,.239,874,,.234,.370,,7,0,2011
6,Dallas Mavericks*,82,19705,.475,13.6,,.726,.240,.162,.125,.199,.274,,.516,.684,.407,.423,.461,.365,,.565,.905,,.053,321,,.181,723,,.293,.392,,18,1,2011
7,Denver Nuggets*,82,19705,.476,12.3,,.742,.349,.133,.074,.186,.258,,.506,.633,.371,.378,.414,.388,,.497,.875,,.059,355,,.290,1122,,.286,.400,,17,1,2011
8,Detroit Pistons,82,19880,.460,12.0,,.811,.307,.150,.132,.222,.189,,.479,.634,.376,.376,.396,.376,,.507,.892,,.043,246,,.249,987,,.365,.397,,18,1,2011
9,Golden State Warriors,82,19830,.461,13.0,,.752,.276,.169,.093,.214,.248,,.484,.656,.370,.349,.412,.392,,.489,.866,,.048,317,,.212,925,,.295,.432,,19,1,2011
10,Houston Rockets,82,19880,.454,12.9,,.736,.263,.203,.092,.177,.264,,.486,.644,.394,.405,.398,.367,,.553,.851,,.026,165,,.247,1063,,.227,.400,,15,0,2011
11,Indiana Pacers*,82,19780,.442,13.2,,.756,.245,.182,.116,.213,.244,,.471,.627,.402,.397,.391,.354,,.450,.892,,.047,288,,.202,806,,.203,.394,,11,0,2011
12,Los Angeles Clippers,82,19855,.457,12.1,,.770,.307,.199,.081,.183,.230,,.493,.664,.393,.369,.368,.338,,.548,.864,,.085,502,,.227,883,,.254,.319,,18,0,2011
13,Los Angeles Lakers*,82,19830,.463,12.7,,.780,.256,.206,.118,.199,.220,,.494,.666,.428,.441,.373,.352,,.527,.819,,.046,287,,.206,878,,.286,.411,,22,1,2011
14,Memphis Grizzlies*,82,19880,.471,10.8,,.864,.309,.244,.107,.204,.136,,.492,.660,.407,.398,.388,.334,,.488,.906,,.042,265,,.255,1071,,.267,.389,,25,0,2011
15,Miami Heat*,82,19780,.481,13.7,,.765,.242,.155,.102,.267,.235,,.515,.695,.458,.403,.428,.370,,.479,.819,,.053,308,,.200,792,,.327,.435,,11,1,2011
16,Milwaukee Bucks,82,19830,.430,12.8,,.784,.268,.165,.123,.227,.216,,.454,.585,.372,.381,.400,.342,,.480,.882,,.026,160,,.220,797,,.299,.395,,11,0,2011
17,Minnesota Timberwolves,82,19780,.441,12.7,,.777,.241,.233,.099,.204,.223,,.459,.611,.387,.391,.395,.376,,.476,.779,,.034,207,,.195,780,,.204,.458,,27,1,2011
18,New Jersey Nets,82,20005,.440,12.8,,.799,.236,.213,.123,.227,.201,,.464,.606,.422,.384,.398,.343,,.550,.808,,.052,307,,.189,677,,.272,.353,,18,1,2011
19,New Orleans Hornets*,82,19830,.459,12.8,,.808,.223,.213,.136,.237,.192,,.482,.657,.401,.402,.436,.360,,.523,.863,,.036,210,,.192,747,,.322,.370,,13,2,2011
20,New York Knicks*,82,19780,.457,13.5,,.697,.265,.166,.086,.179,.303,,.496,.665,.377,.382,.411,.368,,.475,.821,,.054,349,,.206,860,,.270,.424,,12,0,2011
21,Oklahoma City Thunder*,82,20005,.464,12.5,,.788,.284,.159,.126,.218,.212,,.495,.686,.354,.404,.403,.347,,.488,.848,,.072,443,,.208,825,,.187,.354,,11,0,2011
22,Orlando Magic*,82,19830,.461,14.1,,.672,.253,.158,.096,.164,.328,,.507,.671,.405,.411,.411,.366,,.454,.835,,.065,388,,.181,692,,.243,.367,,18,1,2011
23,Philadelphia 76ers*,82,19930,.461,12.4,,.816,.258,.175,.170,.213,.184,,.485,.672,.379,.412,.405,.355,,.557,.831,,.051,323,,.199,812,,.244,.403,,15,0,2011
24,Phoenix Suns,82,20005,.470,13.4,,.729,.253,.167,.116,.193,.271,,.505,.701,.385,.429,.396,.377,,.531,.869,,.049,299,,.195,887,,.263,.410,,15,0,2011
25,Portland Trail Blazers*,82,19805,.447,12.6,,.772,.283,.168,.115,.206,.228,,.477,.645,.387,.378,.376,.345,,.515,.934,,.046,270,,.220,891,,.317,.391,,23,0,2011
26,Sacramento Kings,82,19855,.449,12.0,,.817,.265,.219,.112,.221,.183,,.475,.680,.360,.401,.380,.335,,.480,.879,,.047,299,,.219,960,,.286,.403,,24,1,2011
27,San Antonio Spurs*,82,19780,.475,12.7,,.739,.264,.201,.106,.167,.261,,.503,.662,.430,.407,.400,.397,,.507,.858,,.029,166,,.234,988,,.367,.421,,7,0,2011
28,Toronto Raptors,82,19780,.465,11.8,,.838,.325,.157,.112,.245,.162,,.494,.627,.414,.439,.394,.316,,.534,.872,,.053,325,,.262,1012,,.234,.337,,12,0,2011
29,Utah Jazz,82,19880,.465,12.1,,.809,.296,.181,.111,.221,.191,,.493,.652,.398,.396,.406,.346,,.588,.862,,.055,330,,.229,910,,.184,.368,,16,1,2011
30,Washington Wizards,82,19930,.443,12.2,,.828,.281,.171,.129,.247,.172,,.465,.648,.353,.382,.380,.332,,.468,.890,,.060,389,,.212,827,,.292,.348,,11,0,2011
,League Average,82,19836,.459,12.6,,.778,.276,.178,.110,.214,.222,,.487,.650,.392,.398,.403,.358,,.518,.860,,.049,297,,.222,883,,.270,.394,,15.7,0.5,2011
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2012
1,Atlanta Hawks*,66,16165,.454,13.2,,.751,.277,.153,.074,.247,.249,,.482,.630,.430,.397,.373,.370,,.532,.915,,.048,233,,.225,699,,.340,.398,,8,1,2012
2,Boston Celtics*,66,15940,.460,12.9,,.806,.280,.116,.145,.266,.194,,.483,.637,.333,.418,.420,.367,,.620,.909,,.049,223,,.228,670,,.309,.439,,4,0,2012
3,Charlotte Bobcats,66,15890,.414,12.8,,.831,.290,.125,.108,.309,.169,,.439,.592,.322,.377,.363,.295,,.584,.757,,.049,229,,.231,647,,.158,.340,,12,0,2012
4,Chicago Bulls*,66,15940,.452,12.6,,.795,.297,.142,.116,.241,.205,,.471,.605,.415,.405,.372,.375,,.581,.807,,.046,231,,.235,717,,.261,.375,,13,0,2012
5,Cleveland Cavaliers,66,15965,.422,11.7,,.763,.326,.188,.081,.167,.238,,.446,.599,.322,.326,.343,.346,,.516,.836,,.044,211,,.263,799,,.236,.359,,6,0,2012
6,Dallas Mavericks*,66,16065,.443,13.4,,.729,.240,.167,.148,.175,.271,,.482,.658,.355,.409,.422,.339,,.509,.829,,.051,248,,.174,568,,.228,.350,,10,0,2012
7,Denver Nuggets*,66,16040,.476,11.0,,.757,.404,.151,.077,.125,.243,,.522,.645,.372,.392,.386,.332,,.553,.920,,.078,386,,.315,993,,.313,.361,,22,1,2012
8,Detroit Pistons,66,15965,.438,11.4,,.825,.329,.172,.107,.216,.175,,.457,.589,.360,.375,.376,.346,,.488,.849,,.035,145,,.268,782,,.239,.356,,14,0,2012
9,Golden State Warriors,66,15915,.457,13.4,,.752,.259,.166,.091,.236,.248,,.480,.647,.343,.428,.413,.388,,.516,.870,,.049,241,,.198,639,,.274,.457,,13,1,2012
10,Houston Rockets,66,16065,.449,12.7,,.760,.250,.202,.120,.189,.240,,.477,.655,.374,.398,.403,.359,,.504,.816,,.036,173,,.221,762,,.287,.435,,9,0,2012
11,Indiana Pacers*,66,15990,.438,11.9,,.802,.269,.219,.127,.187,.198,,.455,.584,.404,.382,.379,.368,,.455,.855,,.038,178,,.227,674,,.277,.363,,12,1,2012
12,Los Angeles Clippers*,66,15965,.455,13.7,,.731,.256,.159,.083,.234,.269,,.490,.663,.408,.403,.389,.357,,.500,.823,,.088,407,,.173,551,,.288,.357,,10,0,2012
13,Los Angeles Lakers*,66,16065,.457,12.5,,.791,.258,.212,.117,.205,.209,,.491,.671,.400,.397,.414,.326,,.575,.820,,.062,307,,.181,595,,.283,.346,,9,1,2012
14,Memphis Grizzlies*,66,15940,.447,11.7,,.843,.298,.192,.134,.219,.157,,.470,.628,.386,.384,.381,.326,,.491,.852,,.049,231,,.230,739,,.226,.370,,20,1,2012
15,Miami Heat*,66,16040,.469,12.1,,.802,.309,.157,.119,.218,.198,,.496,.650,.397,.442,.381,.359,,.485,.841,,.066,310,,.234,714,,.330,.365,,5,1,2012
16,Milwaukee Bucks,66,15865,.443,12.4,,.776,.308,.146,.120,.202,.224,,.471,.610,.354,.393,.390,.345,,.578,.817,,.030,154,,.256,857,,.242,.366,,8,0,2012
17,Minnesota Timberwolves,66,15940,.433,12.7,,.738,.310,.157,.086,.186,.262,,.469,.620,.342,.335,.388,.332,,.474,.841,,.041,206,,.244,765,,.256,.360,,9,0,2012
18,New Jersey Nets,66,15890,.425,13.8,,.722,.255,.134,.126,.207,.278,,.457,.570,.414,.396,.384,.342,,.519,.789,,.042,194,,.205,576,,.267,.347,,8,1,2012
19,New Orleans Hornets,66,15940,.451,11.8,,.848,.267,.207,.149,.225,.152,,.472,.625,.390,.408,.407,.333,,.564,.834,,.039,190,,.230,670,,.266,.372,,4,0,2012
20,New York Knicks*,66,15940,.443,13.0,,.712,.316,.130,.085,.181,.288,,.487,.648,.317,.371,.381,.336,,.477,.865,,.075,364,,.231,712,,.245,.350,,12,0,2012
21,Oklahoma City Thunder*,66,15990,.471,12.6,,.748,.294,.148,.130,.175,.252,,.509,.671,.378,.389,.436,.358,,.419,.828,,.078,377,,.204,620,,.183,.411,,9,0,2012
22,Orlando Magic*,66,15965,.441,13.9,,.654,.286,.153,.063,.152,.346,,.475,.636,.371,.330,.338,.375,,.474,.836,,.050,232,,.224,682,,.216,.420,,8,0,2012
23,Philadelphia 76ers*,66,15915,.448,12.5,,.825,.232,.182,.187,.225,.175,,.466,.642,.395,.405,.393,.362,,.553,.799,,.043,219,,.177,570,,.208,.325,,5,0,2012
24,Phoenix Suns,66,15840,.458,13.3,,.762,.253,.165,.118,.226,.238,,.494,.678,.388,.384,.424,.343,,.549,.811,,.037,191,,.204,731,,.238,.354,,11,0,2012
25,Portland Trail Blazers,66,15965,.443,13.0,,.745,.294,.139,.097,.216,.255,,.477,.606,.391,.370,.404,.346,,.483,.879,,.035,175,,.242,743,,.306,.397,,15,0,2012
26,Sacramento Kings,66,15915,.436,11.8,,.772,.306,.219,.076,.172,.228,,.471,.640,.362,.353,.362,.316,,.456,.783,,.043,219,,.266,923,,.268,.341,,12,1,2012
27,San Antonio Spurs*,66,15940,.478,12.4,,.743,.278,.203,.099,.164,.257,,.507,.677,.395,.429,.407,.393,,.508,.873,,.027,129,,.252,890,,.315,.415,,6,0,2012
28,Toronto Raptors,66,15965,.440,13.1,,.791,.271,.151,.106,.263,.209,,.467,.633,.402,.383,.366,.340,,.562,.858,,.048,218,,.212,630,,.241,.340,,12,0,2012
29,Utah Jazz*,66,16165,.456,11.2,,.847,.287,.238,.118,.204,.153,,.480,.672,.420,.333,.365,.323,,.529,.908,,.064,319,,.219,743,,.198,.329,,12,0,2012
30,Washington Wizards,66,15865,.441,12.2,,.804,.299,.167,.109,.227,.196,,.470,.661,.339,.347,.376,.320,,.467,.858,,.072,384,,.217,667,,.294,.389,,6,1,2012
,League Average,66,15966,.448,12.5,,.774,.287,.169,.110,.208,.226,,.477,.634,.378,.388,.388,.349,,.518,.843,,.050,244,,.226,711,,.261,.376,,10.1,0.3,2012
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2013
1,Atlanta Hawks*,82,19855,.464,13.4,,.714,.281,.152,.073,.208,.286,,.501,.678,.382,.387,.389,.371,,.585,.874,,.052,323,,.222,924,,.264,.426,,12,0,2013
2,Boston Celtics*,81,19840,.465,12.9,,.785,.287,.130,.128,.239,.215,,.494,.623,.357,.446,.439,.358,,.555,.914,,.043,258,,.237,880,,.339,.399,,22,0,2013
3,Brooklyn Nets*,82,19855,.450,12.6,,.731,.272,.203,.102,.154,.269,,.484,.623,.405,.397,.400,.357,,.484,.871,,.041,249,,.231,873,,.349,.395,,12,0,2013
4,Charlotte Bobcats,82,19805,.425,12.2,,.790,.319,.147,.111,.212,.210,,.448,.577,.323,.373,.380,.335,,.507,.838,,.051,298,,.260,904,,.208,.402,,15,0,2013
5,Chicago Bulls*,82,19830,.437,12.2,,.811,.306,.139,.140,.226,.189,,.456,.615,.333,.376,.367,.353,,.610,.839,,.039,240,,.247,967,,.229,.359,,11,0,2013
6,Cleveland Cavaliers,82,19730,.434,12.4,,.771,.294,.174,.116,.188,.229,,.460,.584,.352,.385,.411,.346,,.509,.821,,.057,338,,.222,804,,.211,.338,,12,1,2013
7,Dallas Mavericks,82,19980,.462,13.0,,.764,.242,.179,.160,.182,.236,,.489,.627,.432,.412,.431,.372,,.538,.860,,.031,196,,.198,813,,.232,.363,,18,0,2013
8,Denver Nuggets*,82,19905,.478,10.4,,.783,.415,.172,.080,.115,.217,,.516,.655,.368,.347,.352,.343,,.551,.862,,.100,642,,.300,1200,,.345,.351,,21,0,2013
9,Detroit Pistons,82,19805,.449,11.1,,.783,.370,.172,.072,.169,.217,,.474,.609,.347,.340,.366,.356,,.514,.926,,.054,320,,.301,1125,,.267,.356,,16,0,2013
10,Golden State Warriors*,82,19805,.458,13.5,,.761,.242,.173,.118,.229,.239,,.475,.650,.361,.391,.418,.403,,.542,.769,,.045,284,,.188,767,,.226,.461,,21,1,2013
11,Houston Rockets*,82,19780,.461,12.8,,.651,.341,.156,.048,.106,.349,,.511,.653,.350,.338,.372,.366,,.520,.841,,.066,415,,.280,1091,,.290,.392,,11,2,2013
12,Indiana Pacers*,81,19590,.436,12.7,,.755,.271,.190,.116,.178,.245,,.465,.612,.399,.375,.371,.347,,.513,.847,,.048,283,,.203,742,,.251,.364,,23,0,2013
13,Los Angeles Clippers*,82,19730,.478,13.0,,.735,.281,.170,.089,.195,.265,,.522,.677,.460,.432,.392,.358,,.556,.877,,.092,557,,.194,760,,.334,.381,,9,0,2013
14,Los Angeles Lakers*,82,19755,.458,13.3,,.697,.281,.170,.089,.158,.303,,.503,.649,.396,.424,.402,.355,,.518,.859,,.057,356,,.217,853,,.257,.375,,19,0,2013
15,Memphis Grizzlies*,82,19805,.444,11.5,,.834,.304,.196,.125,.210,.166,,.463,.583,.383,.405,.400,.345,,.533,.885,,.044,255,,.238,858,,.287,.396,,12,0,2013
16,Miami Heat*,82,19880,.496,13.2,,.715,.297,.127,.099,.192,.285,,.536,.704,.401,.387,.441,.396,,.522,.866,,.066,392,,.223,910,,.384,.433,,6,0,2013
17,Milwaukee Bucks*,82,19830,.435,12.2,,.768,.320,.143,.122,.183,.232,,.457,.589,.331,.391,.369,.360,,.548,.817,,.040,269,,.252,985,,.234,.384,,9,0,2013
18,Minnesota Timberwolves,82,19730,.439,12.3,,.780,.331,.139,.083,.227,.220,,.477,.613,.328,.415,.393,.305,,.592,.798,,.051,313,,.263,978,,.226,.345,,10,0,2013
19,New Orleans Hornets,82,19780,.448,12.1,,.776,.298,.208,.095,.175,.224,,.473,.614,.379,.371,.402,.363,,.521,.858,,.056,329,,.229,816,,.176,.382,,16,0,2013
20,New York Knicks*,82,19730,.448,14.6,,.646,.280,.096,.083,.188,.354,,.487,.613,.372,.380,.407,.376,,.398,.833,,.049,302,,.218,796,,.236,.377,,30,2,2013
